year,extent_north,extent_south
1979,12.328,11.7
1980,12.337,11.23
1981,12.127,11.435
1982,12.447,11.64
1983,12.332,11.389
1984,11.91,11.454
1985,11.995,11.618
1986,12.203,11.088
1987,12.135,11.554
1988,11.923,12.131
1989,11.967,11.426
1990,11.694,11.41
1991,11.749,11.545
1992,12.11,11.399
1993,11.923,11.42
1994,12.011,11.774
1995,11.415,11.795
1996,11.841,11.769
1997,11.668,11.39
1998,11.757,11.738
1999,11.691,11.761
2000,11.508,11.747
2001,11.6,11.673
2002,11.363,11.222
2003,11.397,11.969
2004,11.24,11.961
2005,10.907,11.695
2006,10.773,11.461
2007,10.474,11.687
2008,10.978,12.239
2009,10.932,12.049
2010,10.711,12.107
2011,10.483,11.501
2012,10.406,12.004
2013,10.897,12.524
2014,10.79,12.776
2015,10.566,12.414
2016,10.151,11.156
2017,10.373,10.693
